admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Bengo,AO01,,,,Angola,AO,2018-08-30,2020-11-12,
Benguela,AO02,,,,Angola,AO,2018-08-30,2020-11-12,
Bié,AO03,Bie,,,Angola,AO,2018-08-30,2020-11-12,
Cabinda,AO04,,,,Angola,AO,2018-08-30,2020-11-12,
Cuando Cubango,AO05,,,,Angola,AO,2018-08-30,2020-11-12,
Cuanza Norte,AO06,,,,Angola,AO,2018-08-30,2020-11-12,
Cuanza Sul,AO07,,,,Angola,AO,2018-08-30,2020-11-12,
Cunene,AO08,,,,Angola,AO,2018-08-30,2020-11-12,
Huíla,AO09,Huila,,,Angola,AO,2018-08-30,2020-11-12,
Huambo,AO10,,,,Angola,AO,2018-08-30,2020-11-12,
Luanda,AO11,,,,Angola,AO,2018-08-30,2020-11-12,
Lunda Norte,AO12,,,,Angola,AO,2018-08-30,2020-11-12,
Lunda Sul,AO13,,,,Angola,AO,2018-08-30,2020-11-12,
Malanje,AO14,,,,Angola,AO,2018-08-30,2020-11-12,
Moxico,AO15,,,,Angola,AO,2018-08-30,2020-11-12,
Namibe,AO16,,,,Angola,AO,2018-08-30,2020-11-12,
Uíge,AO17,Uige,,,Angola,AO,2018-08-30,2020-11-12,
Zaire,AO18,,,,Angola,AO,2018-08-30,2020-11-12,
